sgRNA	Gene	PlasmidLib	R1_Top	R1_Unsorted	R2_Top	R2_Unsorted	R3_Top	R3_Unsorted
Otud5_ENSMUST00000033494_7841667_7841685	ENSMUST00000033494_Otud5	580	1745	1717	1641	1468	1437	1703
Bex4_ENSMUST00000116527_136138593_136138611	ENSMUST00000116527_Bex4	90	252	316	472	389	352	368
Sept6_ENSMUST00000115239_36989756_36989774	ENSMUST00000115239_Sept6	196	956	792	957	760	790	782
Gpkow_ENSMUST00000049896_7696988_7697006	ENSMUST00000049896_Gpkow	609	2245	2076	2328	2104	2255	2340
negative_control_63_63_63	NA_negative_control	581	1864	1823	2515	1856	1643	2248
Dnase1l1_ENSMUST00000128763_74277154_74277136	ENSMUST00000128763_Dnase1l1	906	2762	2978	2975	2591	2870	3433
Slc9a6_ENSMUST00000144068_56609702_56609720	ENSMUST00000144068_Slc9a6	135	389	444	514	427	442	516
Hsf3_ENSMUST00000059003_96368145_96368163	ENSMUST00000059003_Hsf3	161	351	330	366	344	354	384
Ccdc22_ENSMUST00000144674_7597418_7597436	ENSMUST00000144674_Ccdc22	683	1945	2290	2220	1867	2116	2449
Pcsk1n_ENSMUST00000041096_7919698_7919716	ENSMUST00000041096_Pcsk1n	595	1670	2072	2217	2103	1864	2373
Tmem35a_ENSMUST00000037687_134295027_134295009	ENSMUST00000037687_Tmem35a	519	1524	1766	1385	1309	1416	1639
Hdac8_ENSMUST00000087916_102505577_102505595	ENSMUST00000087916_Hdac8	107	173	235	202	171	232	312
Gm28730_ENSMUST00000191072_53052724_53052742	ENSMUST00000191072_Gm28730	410	1110	1274	1347	989	1283	1371
Atp11c_ENSMUST00000154051_60593055_60593073	ENSMUST00000154051_Atp11c	726	2206	2092	2479	1990	2395	2470
C1galt1c1_ENSMUST00000058265_38635251_38635269	ENSMUST00000058265_C1galt1c1	578	1797	1996	1835	1585	1880	2048
Gpr101_ENSMUST00000057645_57503918_57503936	ENSMUST00000057645_Gpr101	194	598	592	625	536	640	656
Nox1_ENSMUST00000159231_134137988_134138006	ENSMUST00000159231_Nox1	386	1134	1307	1284	1157	1188	1482
Zfp36l3_ENSMUST00000071711_53776515_53776533	ENSMUST00000071711_Zfp36l3	215	549	536	572	442	582	493
Arhgap36_ENSMUST00000042444_49470396_49470414	ENSMUST00000042444_Arhgap36	251	887	841	1121	675	891	759
Gria3_ENSMUST00000126843_41610075_41610057	ENSMUST00000126843_Gria3	91	268	220	202	175	275	245
Ftsj1_ENSMUST00000149063_8246527_8246545	ENSMUST00000149063_Ftsj1	383	981	988	1016	787	1026	1192
Ppp1r3f_ENSMUST00000142447_7564508_7564526	ENSMUST00000142447_Ppp1r3f	213	631	643	448	518	705	678
4930519F16Rik_ENSMUST00000033688_103256940_103256958	ENSMUST00000033688_4930519F16Rik	138	398	459	371	392	416	482
Ikbkg_ENSMUST00000114127_74429356_74429374	ENSMUST00000114127_Ikbkg	622	2147	2324	2613	2266	2078	2308
Tfe3_ENSMUST00000133456_7768923_7768905	ENSMUST00000133456_Tfe3	223	607	574	708	560	664	743
Rnf128_ENSMUST00000113029_139611155_139611173	ENSMUST00000113029_Rnf128	534	1723	1720	1617	1348	1740	1863
3632454L22Rik_ENSMUST00000153610_135036146_135036164	ENSMUST00000153610_3632454L22Rik	795	2423	2616	2674	2304	2638	2794
Tspyl2_ENSMUST00000149685_152342653_152342671	ENSMUST00000149685_Tspyl2	429	1417	1384	1647	1295	1522	1558
negative_control_59_59_59	NA_negative_control	385	1084	1081	1033	1038	1032	1271
Med12_ENSMUST00000156131_101282487_101282505	ENSMUST00000156131_Med12	269	840	696	924	675	776	964
