sgRNA	Gene	PlasmidLib	R1_Top	R1_Unsorted	R2_Top	R2_Unsorted	R3_Top	R3_Unsorted
Otud5_ENSMUST00000033494_7841667_7841685	ENSMUST00000033494_Otud5	1531.8229030022135	1541.6592461762407	1427.4000502281751	1330.150564285987	1387.73855917931	1242.0366012439915	1309.2917077156392
Bex4_ENSMUST00000116527_136138593_136138611	ENSMUST00000116527_Bex4	237.69665736241242	222.63503153949148	262.70146527204616	382.5905340298512	367.7318116626373	304.2427861084795	282.9238687253994
Sept6_ENSMUST00000115239_36989756_36989774	ENSMUST00000115239_Sept6	517.6504982559204	844.5995640942613	658.4163306818373	775.7185192088297	718.4477554334302	682.8176165502807	601.2132210414737
Gpkow_ENSMUST00000049896_7696988_7697006	ENSMUST00000049896_Gpkow	1608.414048152324	1983.3954198657077	1725.8488667872402	1887.0143288590966	1988.965891357812	1949.0553485074468	1799.02677396042
negative_control_63_63_63	NA_negative_control	1534.463976972907	1646.7924555143338	1515.521427819431	2038.5915107734656	1754.5250448479558	1420.087777205204	1728.2958067790703
Dnase1l1_ENSMUST00000128763_74277154_74277136	ENSMUST00000128763_Dnase1l1	2392.813017448285	2440.1506234606168	2475.711910063777	2411.455166819507	2449.339650431602	2480.615898100387	2639.3414166692833
Slc9a6_ENSMUST00000144068_56609702_56609720	ENSMUST00000144068_Slc9a6	356.5449860436186	343.67074313040547	369.1121853822421	416.63460697318544	403.6541994343088	382.03213482939753	396.7084681040927
Hsf3_ENSMUST00000059003_96368145_96368163	ENSMUST00000059003_Hsf3	425.2129092816489	310.09879393000597	274.3401377840989	296.66977850619816	325.1921419330263	305.97143830227765	295.22490649606897
Ccdc22_ENSMUST00000144674_7597418_7597436	ENSMUST00000144674_Ccdc22	1803.853521983641	1718.3537156520274	1903.754289471474	1799.4724270048087	1764.9236307818608	1828.9140210384733	1882.8275937731064
Pcsk1n_ENSMUST00000041096_7919698_7919716	ENSMUST00000041096_Pcsk1n	1571.4390125626155	1475.3988201228206	1722.5235317837964	1797.0407075088563	1988.0205653638207	1611.1038446199027	1824.3976643624262
Tmem35a_ENSMUST00000037687_134295027_134295009	ENSMUST00000037687_Tmem35a	1370.7173907899116	1346.411857405496	1468.1354040203594	1122.6438339647116	1237.4317261346844	1223.8857532091106	1260.087556632961
Hdac8_ENSMUST00000087916_102505577_102505595	ENSMUST00000087916_Hdac8	282.5949148642014	152.84071609655567	195.36343145231282	163.73577939413124	161.6507449725218	200.52365448058876	239.870236528056
Gm28730_ENSMUST00000191072_53052724_53052742	ENSMUST00000191072_Gm28730	1082.8403279843233	980.6543055906172	1059.119198596794	1091.8420536826475	934.9274080574506	1108.9303823215319	1054.0451739742462
Atp11c_ENSMUST00000154051_60593055_60593073	ENSMUST00000154051_Atp11c	1917.4197027234602	1948.9399983179294	1739.1502068010147	2009.4108768220362	1881.1987280427975	2070.0610020733193	1898.97270584711
C1galt1c1_ENSMUST00000058265_38635251_38635269	ENSMUST00000058265_C1galt1c1	1526.5407550608265	1587.599808239945	1659.3421667183677	1487.4017583575783	1498.3417004762985	1624.9330621702882	1574.532834645701
Gpr101_ENSMUST00000057645_57503918_57503936	ENSMUST00000057645_Gpr101	512.3683503145335	528.3164637326028	492.1495805096562	506.60822832342586	506.6947327793666	553.1687020154172	504.3425485974511
Nox1_ENSMUST00000159231_134137988_134138006	ENSMUST00000159231_Nox1	1019.45455268768	1001.8576419277116	1086.5532123752037	1040.775944267646	1093.7421750479984	1026.8194031161183	1139.383623508266
Zfp36l3_ENSMUST00000071711_53776515_53776533	ENSMUST00000071711_Zfp36l3	567.8309036990963	485.026318711035	445.59489046144546	463.64785056159934	417.8340893441791	503.03778839527007	379.02572630875517
Arhgap36_ENSMUST00000042444_49470396_49470414	ENSMUST00000042444_Arhgap36	662.9095666440613	783.6399721251148	699.1516844740216	908.6525183208965	638.095045944165	770.1145523370888	583.5304792461363
Gria3_ENSMUST00000126843_41610075_41610057	ENSMUST00000126843_Gria3	240.3377313331059	236.77058909755442	182.89342518939924	163.73577939413124	165.43204894848722	237.6896766472496	188.35964086337734
Ftsj1_ENSMUST00000149063_8246527_8246545	ENSMUST00000149063_Ftsj1	1011.5313307755995	866.6863727787347	821.3577458505748	823.5423359625611	743.9715572711968	886.7985754184658	916.4273139148808
Ppp1r3f_ENSMUST00000142447_7564508_7564526	ENSMUST00000142447_Ppp1r3f	562.5487557577094	557.4710511961076	534.5476018035623	363.13677806223166	489.67886488752214	609.349898313858	521.2564755321217
4930519F16Rik_ENSMUST00000033688_103256940_103256958	ENSMUST00000033688_4930519F16Rik	364.46820795569903	351.6219942568159	381.5821916451557	300.7226443327856	370.56778964461137	359.55965631002124	370.56876284141987
