sgRNA	Gene	R1_Bottom	R1_Top	R1_Unsorted	R2_Bottom	R2_Top	R2_Unsorted	R3_Bottom	R3_Top	R3_Unsorted
Adgrg4_ENSMUST00000136396_56894340_56894322	ENSMUST00000136396_Adgrg4	1809.720419353886	1504.5687855786848	1742.169002587455	1597.2970034460973	1416.5323768156745	1663.569330955405	1791.27363396878	1665.2232689229613	1712.0225341651692
Adgrg4_ENSMUST00000136396_56894260_56894242	ENSMUST00000136396_Adgrg4	593.1561255076318	608.3381567113277	622.3414825909631	529.1389385986384	603.9988848093361	578.2575625110875	588.5205240790568	607.2580663317865	568.9018979989847
Adgrg4_ENSMUST00000136396_56893971_56893989	ENSMUST00000136396_Adgrg4	529.4107495423308	478.12530711425416	427.7992773020306	573.0508837105585	598.3628143445522	573.942207566975	520.907324710751	487.60130449301084	473.19877497111816
Adgrg4_ENSMUST00000136396_56893966_56893948	ENSMUST00000136396_Adgrg4	1600.1169797391672	1509.6552250160705	1487.6187538760657	1248.1970398063318	1178.878072217289	1289.2122895536372	1408.4496037425972	1388.0184373297977	1494.9182272963976
Adgrg4_ENSMUST00000136396_56893883_56893901	ENSMUST00000136396_Adgrg4	439.73505115046663	315.35924511791234	373.59846388819864	395.2075060072818	352.2544040489907	318.2574271283038	474.2446941607934	334.0417934665821	393.446172447896
Adgrg4_ENSMUST00000136396_56893852_56893870	ENSMUST00000136396_Adgrg4	223.6490309291071	198.37113805804162	204.2209219699739	148.20281475273066	178.47556471815528	173.6930365005319	205.69649385287426	219.37073003775538	192.292386083769
Dach2_ENSMUST00000141552_113298173_113298191	ENSMUST00000141552_Dach2	688.23397440503	504.5747921886597	616.5342525823382	832.1313598708878	765.5662381331398	823.1539555894773	717.0808327371033	641.1608155194396	702.7090422323909
Dach2_ENSMUST00000141552_113298129_113298147	ENSMUST00000141552_Dach2	1280.309669811555	1390.6325421812455	1275.6548585612586	1503.9841200832668	1401.502855576251	1399.2538406285084	1508.4409549210777	1417.9326277894916	1421.368604969426
Dach2_ENSMUST00000141552_113298127_113298145	ENSMUST00000141552_Dach2	1866.9832147125462	1934.8815619815136	2191.2614565877766	1239.4146507839475	1202.3616991538884	1557.8431348246463	1727.4696289310828	1709.0974149305123	1799.7503969407135
Dach2_ENSMUST00000141552_113298120_113298138	ENSMUST00000141552_Dach2	910.8025752330303	1071.2041455134247	980.4539997894955	1036.3219046413167	858.5614008020733	937.5108616084609	879.9238903706287	809.6774217757153	900.3182684843747
Dach2_ENSMUST00000141552_113298110_113298128	ENSMUST00000141552_Dach2	602.879996417593	805.6920068818921	762.6828744660636	814.5665818261197	914.9221054499119	989.295120937812	816.1198853329316	696.0034980288784	757.6497239706106
Dach2_ENSMUST00000141552_113298587_113298605	ENSMUST00000141552_Dach2	1118.2451546455354	1046.7892362139735	1033.6869415352232	878.238902238404	819.1089075485864	805.8925358130268	907.5405492675424	817.6545392316337	1022.6055923533153
Prickle3_ENSMUST00000129662_7658401_7658383	ENSMUST00000129662_Prickle3	681.7513937983892	595.1134141741248	682.3495260134198	659.776975306601	647.208758372679	696.9298234741839	648.5153347861452	656.1179107492866	675.2387013632809
Prickle3_ENSMUST00000129662_7658287_7658305	ENSMUST00000129662_Prickle3	669.8666626862146	538.1452924754052	652.3455043021914	680.635149234763	581.4546029502006	718.5065981947469	714.2239369891466	432.75862198357197	518.3919164009441
Prickle3_ENSMUST00000129662_7658266_7658284	ENSMUST00000129662_Prickle3	405.1612879150491	313.32466934295803	354.2410305261158	281.03644871628927	340.982263119423	315.0209109202193	363.7780585731387	318.08755855474533	331.4163704853899
Prickle3_ENSMUST00000129662_7658222_7658240	ENSMUST00000129662_Prickle3	1033.9716067592053	950.1468869036455	1031.7511981990149	805.7841928037357	1051.1271416821883	1035.6851865870224	1050.3853366653718	1099.8450692347462	1249.4574395304805
Prickle3_ENSMUST00000129662_7658180_7658198	ENSMUST00000129662_Prickle3	793.0356942123894	913.5245229544686	820.755174552312	725.6448929744813	851.9859852598255	784.3157610924638	633.2785574637101	670.0778662971437	670.808001223102
Prickle3_ENSMUST00000129662_7658037_7658055	ENSMUST00000129662_Prickle3	285.2335466921946	312.3073814554809	318.42977880626256	244.80909399895512	302.46911494340003	231.9503282460519	403.77459904453093	380.90735852010255	352.68373115824915
Slc6a14_ENSMUST00000033414_21714877_21714895	ENSMUST00000033414_Slc6a14	909.7221451319235	663.271702635093	790.7511528410837	735.5250806246634	823.8056329359063	780.0004061483513	798.0262122625398	790.7317678179091	750.5606037463242
Slc6a14_ENSMUST00000033414_21714898_21714916	ENSMUST00000033414_Slc6a14	372.7483848818452	438.4510795026458	356.1767738623241	427.04366621342393	363.52654497855843	468.2160114362164	368.5395514863997	385.8930569300515	390.7877523637886
Slc6a14_ENSMUST00000033414_21714922_21714940	ENSMUST00000033414_Slc6a14	254.98150386120423	304.1690783556638	357.14464553042825	300.7968240166534	372.9199957531982	275.1038776871778	315.2108308578767	277.20483159316365	268.50042849484794
Slc6a14_ENSMUST00000033414_21714953_21714971	ENSMUST00000033414_Slc6a14	374.9092450840588	417.08803386562596	391.98802558217733	376.5449293347157	439.6134962531404	394.8549773863023	370.4441486517041	439.73859975750054	420.91651331700587
Slc6a14_ENSMUST00000033414_21714782_21714800	ENSMUST00000033414_Slc6a14	318.7268798265053	355.0334727295206	354.2410305261158	250.29808713794515	246.1084102955615	270.78852274306524	284.73727621300645	382.9016378840821	358.88671135449977
Slc6a14_ENSMUST00000033414_21714741_21714759	ENSMUST00000033414_Slc6a14	1122.5668750499626	1285.8518897711006	1297.9159069276539	933.1288336283043	1039.8550007526205	1057.2619613075854	1405.5927079946407	1288.304469130818	1259.2049798388744
Tspan7_ENSMUST00000076354_10485027_10485045	ENSMUST00000076354_Tspan7	1775.1466561184684	1570.6924982646988	1619.2493007382288	1858.5730768620224	1719.0014917590747	1712.1170740766715	1494.156476181295	1501.6923610766346	1520.616288109436
Tspan7_ENSMUST00000076354_10485023_10485041	ENSMUST00000076354_Tspan7	1013.4434348381761	1131.2241308745758	979.4861281213913	1018.7571265965486	1068.9746981540038	926.7224742481794	920.8727294246731	935.3170217064297	869.3033675031216
Tspan7_ENSMUST00000076354_10484991_10485009	ENSMUST00000076354_Tspan7	338.1746216464276	274.66772961882685	285.5221420907218	270.0584624383092	198.20181134489877	221.16194088577043	232.36085416713573	186.46512053209207	260.52516824252575
Tspan7_ENSMUST00000076354_10484988_10485006	ENSMUST00000076354_Tspan7	1336.4920350691086	1210.5725860977925	1335.6629019837153	1278.9354013846757	1248.389607949623	1266.5566760970462	1507.4886563384257	1587.4463737277572	1680.1214931558802
