Gene	sgRNA	Top.beta	Top.z	Top.p.value	Top.fdr	Top.wald.p.value	Top.wald.fdr
ENSMUST00000136396_Adgrg4	6	-0.0459	-1.4553	0.32292	0.56473	0.14558	0.38153
ENSMUST00000141552_Dach2	6	-0.049039	-1.2429	0.29398	0.54408	0.21392	0.45276
ENSMUST00000129662_Prickle3	6	-0.042073	-1.0624	0.36697	0.60926	0.28804	0.51697
ENSMUST00000033414_Slc6a14	6	0.021644	0.61053	0.46556	0.68864	0.54151	0.73808
ENSMUST00000076354_Tspan7	6	-0.029523	-0.81724	0.54187	0.736	0.41379	0.63834
ENSMUST00000115264_Dock11	6	-0.089781	-2.0527	0.061204	0.26816	0.040099	0.19821
ENSMUST00000088652_Htatsf1	6	-0.094228	-2.0849	0.050704	0.24242	0.037076	0.19327
ENSMUST00000133447_Klhl4	6	-0.10791	-2.1261	0.029193	0.20339	0.033491	0.18954
ENSMUST00000049896_Gpkow	6	0.022198	0.58395	0.4589	0.68528	0.55925	0.74886
ENSMUST00000101588_Ccdc160	6	-0.0045096	-0.1266	0.97132	0.98137	0.89925	0.94144
ENSMUST00000140102_Ppp1r2-ps7	6	-0.08489	-2.9067	0.0758	0.29118	0.0036531	0.048357
ENSMUST00000125623_Mid1ip1	6	0.019932	0.7785	0.48963	0.70165	0.43627	0.65037
ENSMUST00000059509_Ube2dnl1	6	-0.016951	-0.38824	0.78284	0.87719	0.69784	0.83081
ENSMUST00000062695_Ube2dnl2	6	0.011515	0.34316	0.64507	0.79319	0.73148	0.84886
ENSMUST00000009875_Kcnd1	6	-0.037409	-0.70896	0.42458	0.64717	0.47835	0.68549
ENSMUST00000178974_Cldn34b4	6	-0.0307	-0.73846	0.51959	0.72163	0.46023	0.67208
ENSMUST00000078944_Phf6	6	0.039509	0.89435	0.23662	0.4928	0.37113	0.60261
ENSMUST00000026036_Nr0b1	6	0.28641	4.2266	0	0	2.3727e-5	9.2652e-4
ENSMUST00000119715_Gm5937	6	-0.012944	-0.36527	0.86479	0.93546	0.71491	0.84088
ENSMUST00000040961_Pabpc5	6	0.068853	1.3937	0.06991	0.27437	0.16341	0.4037
ENSMUST00000192977_Pcdh11x	6	0.055441	1.8417	0.11985	0.35589	0.065518	0.26296
ENSMUST00000088217_Tbl1x	6	-0.0209	-0.47914	0.70294	0.83308	0.63184	0.79081
ENSMUST00000026723_Hprt	6	-0.0034482	-0.072153	0.95262	0.97382	0.94248	0.96565
ENSMUST00000114746_Vgll1	6	-0.10552	-2.7616	0.032522	0.20451	0.0057523	0.062396
ENSMUST00000115666_Otud5	6	0.05595	1.4306	0.11754	0.35038	0.15254	0.38717
ENSMUST00000113343_Cldn34c1	6	0.070499	1.1905	0.064789	0.27282	0.23387	0.47115
ENSMUST00000113320_Diaph2	6	0.047735	1.0139	0.16492	0.40757	0.31065	0.53661
ENSMUST00000035766_Wdr44	6	0.13321	1.7322	0.0028169	0.051163	0.083241	0.29145
ENSMUST00000126715_Pim2	6	-0.069922	-1.5011	0.13982	0.39	0.13332	0.36664
ENSMUST00000117902_Mageb17-ps	6	0.060405	1.1302	0.09936	0.33447	0.25841	0.49103
ENSMUST00000118752_Gm6982	6	0.08225	1.5808	0.040461	0.21477	0.11392	0.33323
ENSMUST00000113947_Arx	6	-0.08005	-2.1206	0.090653	0.32778	0.033951	0.18969
ENSMUST00000115020_Ocrl	6	-0.080168	-2.5725	0.090397	0.32778	0.010096	0.080456
ENSMUST00000207461_Gm45208	6	-0.052375	-1.3844	0.26453	0.52111	0.16622	0.40408
ENSMUST00000115687_Wdr45	6	0.099699	2.088	0.01767	0.16522	0.036794	0.19327
ENSMUST00000063384_Cxx1c	6	0.031341	0.6148	0.32394	0.56473	0.53869	0.73552
ENSMUST00000146263_Pcyt1b	6	-0.067601	-1.6981	0.15211	0.39866	0.089493	0.30509
ENSMUST00000115663_Slc35a2	6	0.018701	0.4686	0.51037	0.71434	0.63935	0.79385
ENSMUST00000026760_Tmem47	6	-0.028701	-0.68676	0.55877	0.7506	0.49223	0.69644
ENSMUST00000156778_Cstf2	6	0.038574	0.9635	0.24533	0.49664	0.3353	0.56194
ENSMUST00000069209_4930502E18Rik	6	0.075885	1.9555	0.051216	0.24242	0.050519	0.22611
ENSMUST00000114998_Xpnpep2	6	0.067466	1.2626	0.076056	0.29118	0.20673	0.44408
ENSMUST00000033489_Praf2	6	8.8807e-5	0.0030798	0.8758	0.94047	0.99754	0.99882
ENSMUST00000121565_AU015836	6	0.05504	1.3611	0.12215	0.35865	0.17348	0.40932
ENSMUST00000123308_Dmd	6	-0.024264	-0.58798	0.63303	0.78601	0.55655	0.74886
ENSMUST00000114725_Gm364	6	-0.0039707	-0.09838	0.96031	0.97529	0.92163	0.95264
ENSMUST00000137277_Atp6ap2	6	-0.03061	-0.76213	0.52113	0.72163	0.44598	0.65595
ENSMUST00000037687_Tmem35a	6	0.042724	1.1635	0.20691	0.45763	0.24461	0.47879
ENSMUST00000125604_Cenpi	6	-0.036376	-0.86381	0.44174	0.66809	0.38769	0.61417
ENSMUST00000033427_Sash3	6	-0.039322	-0.94764	0.39846	0.62817	0.34332	0.57049
ENSMUST00000088629_Zic3	6	0.050968	1.2707	0.14289	0.39021	0.20383	0.44221
ENSMUST00000113915_Klhl15	6	-0.028725	-0.56035	0.55851	0.7506	0.57524	0.75503
ENSMUST00000115987_Gm4984	6	-0.013668	-0.41259	0.85019	0.92867	0.67991	0.82414
ENSMUST00000153424_Drp2	6	-0.088404	-1.9911	0.065813	0.27282	0.046467	0.21491
ENSMUST00000062542_4930550L24Rik	6	-0.026867	-0.55161	0.59078	0.76667	0.58121	0.75503
ENSMUST00000146063_Tab3	6	0.048509	1.5609	0.15928	0.40757	0.11855	0.33736
ENSMUST00000146406_Timm17b	6	-0.05501	-1.6427	0.24046	0.49632	0.10044	0.31503
ENSMUST00000080713_Utp14a	6	0.031569	0.85375	0.3219	0.56473	0.39324	0.6186
ENSMUST00000113896_Apoo	6	-0.23567	-5.5676	7.6825e-4	0.022222	2.582e-8	3.3609e-6
ENSMUST00000033458_3830403N18Rik	6	0.020337	0.62963	0.48476	0.69852	0.52894	0.72768
ENSMUST00000146644_Gm14827	6	-0.00662	-0.18332	0.98207	0.9884	0.85455	0.913
