Read 1	Read 2	Accession Number
XX_d0_R1_1.fastq	XX_d0_R1_2.fastq	GSM4869477
XX_d0_R2_1.fastq	XX_d0_R2_2.fastq	GSM4869478
XX_d0_R3_1.fastq	XX_d0_R3_2.fastq	GSM4869479
XX_d1_R1_1.fastq	XX_d1_R1_2.fastq	GSM4869480
XX_d1_R2_1.fastq	XX_d1_R2_2.fastq	GSM4869481
XX_d1_R3_1.fastq	XX_d1_R3_2.fastq	GSM4869482
XX_d2_R1_1.fastq	XX_d2_R1_2.fastq	GSM4869483
XX_d2_R2_1.fastq	XX_d2_R2_2.fastq	GSM4869484
XX_d2_R3_1.fastq	XX_d2_R3_2.fastq	GSM4869485
XX_d3_R1_1.fastq	XX_d3_R1_2.fastq	GSM4869486
XX_d3_R2_1.fastq	XX_d3_R2_2.fastq	GSM4869487
XX_d3_R3_1.fastq	XX_d3_R3_2.fastq	GSM4869488
XX_d4_R1_1.fastq	XX_d4_R1_2.fastq	GSM4869489
XX_d4_R2_1.fastq	XX_d4_R2_2.fastq	GSM4869490
XX_d4_R3_1.fastq	XX_d4_R3_2.fastq	GSM4869491
XO_d0_R1_1.fastq	XO_d0_R1_2.fastq	GSM5825584
XO_d0_R2_1.fastq	XO_d0_R2_2.fastq	GSM5825585
XO_d0_R3_1.fastq	XO_d0_R3_2.fastq	GSM5825586
XO_d1_R1_1.fastq	XO_d1_R1_2.fastq	GSM5825587
XO_d1_R2_1.fastq	XO_d1_R2_2.fastq	GSM5825588
XO_d1_R3_1.fastq	XO_d1_R3_2.fastq	GSM5825589
XO_d2_R1_1.fastq	XO_d2_R1_2.fastq	GSM5825590
XO_d2_R2_1.fastq	XO_d2_R2_2.fastq	GSM5825591
XO_d2_R3_1.fastq	XO_d2_R3_2.fastq	GSM5825592
XO_d3_R1_1.fastq	XO_d3_R1_2.fastq	GSM5825593
XO_d3_R2_1.fastq	XO_d3_R2_2.fastq	GSM5825594
XO_d3_R3_1.fastq	XO_d3_R3_2.fastq	GSM5825595
XO_d4_R1_1.fastq	XO_d4_R1_2.fastq	GSM5825596
XO_d4_R2_1.fastq	XO_d4_R2_2.fastq	GSM5825597
XO_d4_R3_1.fastq	XO_d4_R3_2.fastq	GSM5825598
